Loc;Genera_Prefix;Lineage_Name;Lineage;parasiteGenus;order;family;genus;species;Host_Status;Host_Age;Host_Environment;continent;country;region;site;Lat1;Lat2;Lat3;Lon1;Lon2;Lon3;length;IDSeq;IDLoc;Latitude;Longitude
-0.0194444444444444_-87.5833333333333;H_;CREFUR01;H_CREFUR01;Haemoproteus;Charadriiformes;Laridae;Creagrus;Creagrus_furcatus;_;_;Wild;South_America;Ecuador;Galapagos;Espanola;-1;22;2210;-89;40;2700;Full;Parasite_424;490;-0,0194444444444444;-87,5833333333333
-0.05_-50.4;H_;IBYAME01;H_IBYAME01;Haemoproteus;Falconiformes;Falconidae;Daptrius;Daptrius_americanus;Resident;Adult;Wild;South_America;Brazil;Amazonas;Caxiuana;-1;57;0;-51;36;0;Full;Parasite_742;186;-0,05;-50,4
-0.05_-50.4;P_;WILPOE02;P_WILPOE02;Plasmodium;Passeriformes;Thamnophilidae;Hypocnemis;Hypocnemis_cantator;Resident;Adult;Wild;South_America;Brazil;Amazonas;Caxiuana;-1;57;0;-51;36;0;Full;Parasite_1082;186;-0,05;-50,4
-0.05_-50.4;P_;DENPET03;P_DENPET03;Plasmodium;Piciformes;Ramphastidae;Ramphastos;Ramphastos_vitellinus;Resident;Adult;Wild;South_America;Brazil;Amazonas;Caxiuana;-1;57;0;-51;36;0;Full;Parasite_489;186;-0,05;-50,4
-0.05_-50.4;H_;MYRMEN02;H_MYRMEN02;Haemoproteus;Passeriformes;Thamnophilidae;Myrmotherula;Myrmotherula_menetriesii;Resident;Adult;Wild;South_America;Brazil;Amazonas;Caxiuana;-1;57;0;-51;36;0;Full;Parasite_928;186;-0,05;-50,4
-0.05_-50.4;P_;MYRAXI01;P_MYRAXI01;Plasmodium;Passeriformes;Thamnophilidae;Myrmotherula;Myrmotherula_longipennis;Resident;Adult;Wild;South_America;Brazil;Amazonas;Caxiuana;-1;57;0;-51;36;0;Full;Parasite_907;186;-0,05;-50,4
-0.05_-50.4;P_;MICMIN02;P_MICMIN02;Plasmodium;Falconiformes;Falconidae;Micrastur;Micrastur_mintoni;Resident;Adult;Wild;South_America;Brazil;Amazonas;Caxiuana;-1;57;0;-51;36;0;Full;Parasite_851;186;-0,05;-50,4
-0.05_-50.4;P_;MONNIG01;P_MONNIG01;Plasmodium;Galbuliformes;Bucconidae;Monasa;Monasa_morphoeus;Resident;Adult;Wild;South_America;Brazil;Amazonas;Caxiuana;-1;57;0;-51;36;0;Full;Parasite_582;186;-0,05;-50,4
-0.05_-50.4;P_;THAMAE01;P_THAMAE01;Plasmodium;Passeriformes;Thamnophilidae;Phlegopsis;Phlegopsis_nigromaculata;Resident;Adult;Wild;South_America;Brazil;Amazonas;Caxiuana;-1;57;0;-51;36;0;Full;Parasite_1370;186;-0,05;-50,4
-0.05_-50.4;P_;THAMAE01;P_THAMAE01;Plasmodium;Passeriformes;Thamnophilidae;Willisornis;Willisornis_poecilinotus;Resident;Adult;Wild;South_America;Brazil;Amazonas;Caxiuana;-1;57;0;-51;36;0;Full;Parasite_1370;186;-0,05;-50,4
-0.05_-50.4;H_;MICMIN05;H_MICMIN05;Haemoproteus;Falconiformes;Falconidae;Micrastur;Micrastur_mintoni;Resident;Adult;Wild;South_America;Brazil;Amazonas;Caxiuana;-1;57;0;-51;36;0;Full;Parasite_854;186;-0,05;-50,4
